sepal_length,sepal_width,petal_length,petal_width,species_id,species,sepal_area,petal_area
5.1,3.5,1.4,0.2,0,setosa,17.85,0.28
4.9,3.0,1.4,0.2,0,setosa,14.7,0.28
4.7,3.2,1.3,0.2,0,setosa,15.04,0.26
4.6,3.1,1.5,0.2,0,setosa,14.26,0.3
5.0,3.6,1.4,0.2,0,setosa,18.0,0.28
5.4,3.9,1.7,0.4,0,setosa,21.06,0.68
4.6,3.4,1.4,0.3,0,setosa,15.64,0.42
5.0,3.4,1.5,0.2,0,setosa,17.0,0.3
4.4,2.9,1.4,0.2,0,setosa,12.76,0.28
4.9,3.1,1.5,0.1,0,setosa,15.19,0.15
5.4,3.7,1.5,0.2,0,setosa,19.98,0.3
4.8,3.4,1.6,0.2,0,setosa,16.32,0.32
4.8,3.0,1.4,0.1,0,setosa,14.4,0.14
4.3,3.0,1.1,0.1,0,setosa,12.9,0.11
5.8,4.0,1.2,0.2,0,setosa,23.2,0.24
5.7,4.4,1.5,0.4,0,setosa,25.08,0.6
5.4,3.9,1.3,0.4,0,setosa,21.06,0.52
5.1,3.5,1.4,0.3,0,setosa,17.85,0.42
5.7,3.8,1.7,0.3,0,setosa,21.66,0.51
5.1,3.8,1.5,0.3,0,setosa,19.38,0.45
5.4,3.4,1.7,0.2,0,setosa,18.36,0.34
5.1,3.7,1.5,0.4,0,setosa,18.87,0.6
4.6,3.6,1.0,0.2,0,setosa,16.56,0.2
5.1,3.3,1.7,0.5,0,setosa,16.83,0.85
4.8,3.4,1.9,0.2,0,setosa,16.32,0.38
5.0,3.0,1.6,0.2,0,setosa,15.0,0.32
5.0,3.4,1.6,0.4,0,setosa,17.0,0.64
5.2,3.5,1.5,0.2,0,setosa,18.2,0.3
5.2,3.4,1.4,0.2,0,setosa,17.68,0.28
4.7,3.2,1.6,0.2,0,setosa,15.04,0.32
4.8,3.1,1.6,0.2,0,setosa,14.88,0.32
5.4,3.4,1.5,0.4,0,setosa,18.36,0.6
5.2,4.1,1.5,0.1,0,setosa,21.32,0.15
5.5,4.2,1.4,0.2,0,setosa,23.1,0.28
4.9,3.1,1.5,0.2,0,setosa,15.19,0.3
5.0,3.2,1.2,0.2,0,setosa,16.0,0.24
5.5,3.5,1.3,0.2,0,setosa,19.25,0.26
4.9,3.6,1.4,0.1,0,setosa,17.64,0.14
4.4,3.0,1.3,0.2,0,setosa,13.2,0.26
5.1,3.4,1.5,0.2,0,setosa,17.34,0.3
5.0,3.5,1.3,0.3,0,setosa,17.5,0.39
4.5,2.3,1.3,0.3,0,setosa,10.35,0.39
4.4,3.2,1.3,0.2,0,setosa,14.08,0.26
5.0,3.5,1.6,0.6,0,setosa,17.5,0.96
5.1,3.8,1.9,0.4,0,setosa,19.38,0.76
4.8,3.0,1.4,0.3,0,setosa,14.4,0.42
5.1,3.8,1.6,0.2,0,setosa,19.38,0.32
4.6,3.2,1.4,0.2,0,setosa,14.72,0.28
5.3,3.7,1.5,0.2,0,setosa,19.61,0.3
5.0,3.3,1.4,0.2,0,setosa,16.5,0.28
7.0,3.2,4.7,1.4,1,versicolor,22.4,6.58
6.4,3.2,4.5,1.5,1,versicolor,20.48,6.75
6.9,3.1,4.9,1.5,1,versicolor,21.39,7.35
5.5,2.3,4.0,1.3,1,versicolor,12.65,5.2
6.5,2.8,4.6,1.5,1,versicolor,18.2,6.9
5.7,2.8,4.5,1.3,1,versicolor,15.96,5.85
6.3,3.3,4.7,1.6,1,versicolor,20.79,7.52
4.9,2.4,3.3,1.0,1,versicolor,11.76,3.3
6.6,2.9,4.6,1.3,1,versicolor,19.14,5.98
5.2,2.7,3.9,1.4,1,versicolor,14.04,5.46
5.0,2.0,3.5,1.0,1,versicolor,10.0,3.5
5.9,3.0,4.2,1.5,1,versicolor,17.7,6.3
6.0,2.2,4.0,1.0,1,versicolor,13.2,4.0
6.1,2.9,4.7,1.4,1,versicolor,17.69,6.58
5.6,2.9,3.6,1.3,1,versicolor,16.24,4.68
6.7,3.1,4.4,1.4,1,versicolor,20.77,6.16
5.6,3.0,4.5,1.5,1,versicolor,16.8,6.75
5.8,2.7,4.1,1.0,1,versicolor,15.66,4.1
6.2,2.2,4.5,1.5,1,versicolor,13.64,6.75
5.6,2.5,3.9,1.1,1,versicolor,14.0,4.29
5.9,3.2,4.8,1.8,1,versicolor,18.88,8.64
6.1,2.8,4.0,1.3,1,versicolor,17.08,5.2
6.3,2.5,4.9,1.5,1,versicolor,15.75,7.35
6.1,2.8,4.7,1.2,1,versicolor,17.08,5.64
6.4,2.9,4.3,1.3,1,versicolor,18.56,5.59
6.6,3.0,4.4,1.4,1,versicolor,19.8,6.16
6.8,2.8,4.8,1.4,1,versicolor,19.04,6.72
6.7,3.0,5.0,1.7,1,versicolor,20.1,8.5
6.0,2.9,4.5,1.5,1,versicolor,17.4,6.75
5.7,2.6,3.5,1.0,1,versicolor,14.82,3.5
5.5,2.4,3.8,1.1,1,versicolor,13.2,4.18
5.5,2.4,3.7,1.0,1,versicolor,13.2,3.7
5.8,2.7,3.9,1.2,1,versicolor,15.66,4.68
6.0,2.7,5.1,1.6,1,versicolor,16.2,8.16
5.4,3.0,4.5,1.5,1,versicolor,16.2,6.75
6.0,3.4,4.5,1.6,1,versicolor,20.4,7.2
6.7,3.1,4.7,1.5,1,versicolor,20.77,7.05
6.3,2.3,4.4,1.3,1,versicolor,14.49,5.72
5.6,3.0,4.1,1.3,1,versicolor,16.8,5.33
5.5,2.5,4.0,1.3,1,versicolor,13.75,5.2
5.5,2.6,4.4,1.2,1,versicolor,14.3,5.28
6.1,3.0,4.6,1.4,1,versicolor,18.3,6.44
5.8,2.6,4.0,1.2,1,versicolor,15.08,4.8
5.0,2.3,3.3,1.0,1,versicolor,11.5,3.3
5.6,2.7,4.2,1.3,1,versicolor,15.12,5.46
5.7,3.0,4.2,1.2,1,versicolor,17.1,5.04
5.7,2.9,4.2,1.3,1,versicolor,16.53,5.46
6.2,2.9,4.3,1.3,1,versicolor,17.98,5.59
5.1,2.5,3.0,1.1,1,versicolor,12.75,3.3
5.7,2.8,4.1,1.3,1,versicolor,15.96,5.33
6.3,3.3,6.0,2.5,2,virginica,20.79,15.0
5.8,2.7,5.1,1.9,2,virginica,15.66,9.69
7.1,3.0,5.9,2.1,2,virginica,21.3,12.39
6.3,2.9,5.6,1.8,2,virginica,18.27,10.08
6.5,3.0,5.8,2.2,2,virginica,19.5,12.76
7.6,3.0,6.6,2.1,2,virginica,22.8,13.86
4.9,2.5,4.5,1.7,2,virginica,12.25,7.65
7.3,2.9,6.3,1.8,2,virginica,21.17,11.34
6.7,2.5,5.8,1.8,2,virginica,16.75,10.44
7.2,3.6,6.1,2.5,2,virginica,25.92,15.25
6.5,3.2,5.1,2.0,2,virginica,20.8,10.2
6.4,2.7,5.3,1.9,2,virginica,17.28,10.07
6.8,3.0,5.5,2.1,2,virginica,20.4,11.55
5.7,2.5,5.0,2.0,2,virginica,14.25,10.0
5.8,2.8,5.1,2.4,2,virginica,16.24,12.24
6.4,3.2,5.3,2.3,2,virginica,20.48,12.19
6.5,3.0,5.5,1.8,2,virginica,19.5,9.9
7.7,3.8,6.7,2.2,2,virginica,29.26,14.74
7.7,2.6,6.9,2.3,2,virginica,20.02,15.87
6.0,2.2,5.0,1.5,2,virginica,13.2,7.5
6.9,3.2,5.7,2.3,2,virginica,22.08,13.11
5.6,2.8,4.9,2.0,2,virginica,15.68,9.8
7.7,2.8,6.7,2.0,2,virginica,21.56,13.4
6.3,2.7,4.9,1.8,2,virginica,17.01,8.82
6.7,3.3,5.7,2.1,2,virginica,22.11,11.97
7.2,3.2,6.0,1.8,2,virginica,23.04,10.8
6.2,2.8,4.8,1.8,2,virginica,17.36,8.64
6.1,3.0,4.9,1.8,2,virginica,18.3,8.82
6.4,2.8,5.6,2.1,2,virginica,17.92,11.76
7.2,3.0,5.8,1.6,2,virginica,21.6,9.28
7.4,2.8,6.1,1.9,2,virginica,20.72,11.59
7.9,3.8,6.4,2.0,2,virginica,30.02,12.8
6.4,2.8,5.6,2.2,2,virginica,17.92,12.32
6.3,2.8,5.1,1.5,2,virginica,17.64,7.65
6.1,2.6,5.6,1.4,2,virginica,15.86,7.84
7.7,3.0,6.1,2.3,2,virginica,23.1,14.03
6.3,3.4,5.6,2.4,2,virginica,21.42,13.44
6.4,3.1,5.5,1.8,2,virginica,19.84,9.9
6.0,3.0,4.8,1.8,2,virginica,18.0,8.64
6.9,3.1,5.4,2.1,2,virginica,21.39,11.34
6.7,3.1,5.6,2.4,2,virginica,20.77,13.44
6.9,3.1,5.1,2.3,2,virginica,21.39,11.73
5.8,2.7,5.1,1.9,2,virginica,15.66,9.69
6.8,3.2,5.9,2.3,2,virginica,21.76,13.57
6.7,3.3,5.7,2.5,2,virginica,22.11,14.25
6.7,3.0,5.2,2.3,2,virginica,20.1,11.96
6.3,2.5,5.0,1.9,2,virginica,15.75,9.5
6.5,3.0,5.2,2.0,2,virginica,19.5,10.4
6.2,3.4,5.4,2.3,2,virginica,21.08,12.42
5.9,3.0,5.1,1.8,2,virginica,17.7,9.18
